Team Name,League,Start Year,End Year,Total Years,Games Played,Wins,Losses,Win-Loss %,Playoff Appearances,Division Titles,Conference Titles,Championships
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2024-25,77,6000,2827,3173,.471,42,11,5,3
Detroit Pistons,NBA,1957-58,2024-25,68,5381,2514,2867,.467,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
"Golden State
                            Warriors
",NBA/BAA,1946-47,2024-25,79,6105,2971,3134,.487,37,12,7,7
Golden State Warriors,NBA,1971-72,2024-25,54,4273,2083,2190,.487,20,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2024-25,58,4608,2370,2238,.514,34,8,4,2
Houston Rockets,NBA,1971-72,2024-25,54,4280,2251,2029,.526,33,8,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2024-25,58,4614,2358,2256,.511,37,9,1,3
Indiana Pacers,NBA,1976-77,2024-25,49,3870,1931,1939,.499,28,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
"Los Angeles Clippers
",NBA,1970-71,2024-25,55,4361,1843,2518,.423,18,3,0,0
Los Angeles Clippers,NBA,1984-85,2024-25,41,3213,1398,1815,.435,15,3,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
"Los Angeles Lakers
",NBA/BAA,1948-49,2024-25,77,6006,3552,2454,.591,64,33,19,17
Los Angeles Lakers,NBA,1960-61,2024-25,65,5167,3095,2072,.599,53,29,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,.545,11,4,0,5
"Memphis Grizzlies
",NBA,1995-96,2024-25,30,2313,999,1314,.432,13,2,0,0
Memphis Grizzlies,NBA,2001-02,2024-25,24,1853,898,955,.485,13,2,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,.220,0,0,0,0
Miami Heat,NBA,1988-89,2024-25,37,2886,1521,1365,.527,25,16,7,3
Milwaukee Bucks,NBA,1968-69,2024-25,57,4527,2390,2137,.528,36,19,3,2
"Minnesota
                            Timberwolves
",NBA,1989-90,2024-25,36,2796,1148,1648,.411,12,1,0,0
"New Orleans Pelicans
",NBA,2002-03,2024-25,23,1770,833,937,.471,9,1,0,0
New Orleans Pelicans,NBA,2013-14,2024-25,12,884,414,470,.468,4,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,.470,0,0,0,0
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,.474,5,1,0,0
New York Knicks,NBA/BAA,1946-47,2024-25,79,6107,2975,3132,.487,45,8,4,2
"Oklahoma City
                            Thunder
",NBA,1967-68,2024-25,58,4607,2471,2136,.536,33,12,4,1
Oklahoma City Thunder,NBA,2008-09,2024-25,17,1277,726,551,.569,11,6,1,0
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,.524,22,6,3,1
Orlando Magic,NBA,1989-90,2024-25,36,2805,1317,1488,.470,17,7,2,0
"Philadelphia 76ers
",NBA,1949-50,2024-25,76,5943,3101,2842,.522,54,12,5,3
Philadelphia 76ers,NBA,1963-64,2024-25,62,4930,2525,2405,.512,40,9,5,2
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2024-25,57,4527,2430,2097,.537,33,8,3,0
"Portland Trail
                            Blazers
",NBA,1970-71,2024-25,55,4364,2292,2072,.525,37,6,3,1
"Sacramento Kings
",NBA/BAA,1948-49,2024-25,77,6006,2748,3258,.458,30,6,0,1
Sacramento Kings,NBA,1985-86,2024-25,40,3131,1342,1789,.429,11,3,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,.576,7,2,0,1
"San Antonio Spurs
",NBA/ABA,1967-68,2024-25,58,4612,2683,1929,.582,47,22,6,5
San Antonio Spurs,NBA,1976-77,2024-25,49,3868,2305,1563,.596,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2024-25,30,2312,1097,1215,.474,13,7,1,1
Utah Jazz,NBA,1974-75,2024-25,51,4034,2177,1857,.540,31,11,2,0
Utah Jazz,NBA,1979-80,2024-25,46,3624,2016,1608,.556,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
"Washington Wizards
",NBA,1961-62,2024-25,64,5088,2272,2816,.447,30,8,4,1
Washington Wizards,NBA,1997-98,2024-25,28,2147,894,1253,.416,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,.225,0,0,0,0
